07-29-2019 14:22:30.085,-,API,"XBEE_A_SENDER,0013A20041541EBC,XBEE 802.15.4,10EF,COM11 - 9600/8/N/1/N,1,23"

07-29-2019 14:22:30.111,174,RECV,7E000389010174
07-29-2019 14:22:30.556,175,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:30.631,176,RECV,7E000389010075
07-29-2019 14:22:31.058,177,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:31.118,178,RECV,7E000389010174
07-29-2019 14:22:31.562,179,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:31.635,180,RECV,7E000389010174
07-29-2019 14:22:32.063,181,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:32.151,182,RECV,7E000389010174
07-29-2019 14:22:32.566,183,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:32.627,184,RECV,7E000389010075
07-29-2019 14:22:33.070,185,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:33.156,186,RECV,7E000389010075
07-29-2019 14:22:33.571,187,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:33.627,188,RECV,7E000389010174
07-29-2019 14:22:34.071,189,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:34.143,190,RECV,7E000389010075
07-29-2019 14:22:34.575,191,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:34.617,192,RECV,7E000389010174
07-29-2019 14:22:35.078,193,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:35.141,194,RECV,7E000389010075
07-29-2019 14:22:35.582,195,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:35.672,196,RECV,7E000389010075
07-29-2019 14:22:36.085,197,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:36.134,198,RECV,7E000389010075
07-29-2019 14:22:36.591,199,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:36.661,200,RECV,7E000389010075
07-29-2019 14:22:37.092,201,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:37.129,202,RECV,7E000389010174
07-29-2019 14:22:37.597,203,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:37.647,204,RECV,7E000389010075
07-29-2019 14:22:38.103,205,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:38.169,206,RECV,7E000389010174
07-29-2019 14:22:38.609,207,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:38.652,208,RECV,7E000389010075
07-29-2019 14:22:39.111,209,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:39.165,210,RECV,7E000389010075
07-29-2019 14:22:39.618,211,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:39.689,212,RECV,7E000389010075
07-29-2019 14:22:40.120,213,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:40.199,214,RECV,7E000389010174
07-29-2019 14:22:40.624,215,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:40.685,216,RECV,7E000389010075
07-29-2019 14:22:41.127,217,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:41.209,218,RECV,7E000389010075
07-29-2019 14:22:41.630,219,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:41.679,220,RECV,7E000389010075
07-29-2019 14:22:42.135,221,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:42.202,222,RECV,7E000389010174
07-29-2019 14:22:42.636,223,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:42.722,224,RECV,7E000389010174
07-29-2019 14:22:43.141,225,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:43.191,226,RECV,7E000389010174
07-29-2019 14:22:43.645,227,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:43.707,228,RECV,7E000389010174
07-29-2019 14:22:44.147,229,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:44.233,230,RECV,7E000389010174
07-29-2019 14:22:44.648,231,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:44.695,232,RECV,7E000389010174
07-29-2019 14:22:45.152,233,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:45.209,234,RECV,7E000389010174
07-29-2019 14:22:45.656,235,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:45.732,236,RECV,7E000389010174
07-29-2019 14:22:46.162,237,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:46.219,238,RECV,7E000389010174
07-29-2019 14:22:46.663,239,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:46.720,240,RECV,7E000389010174
07-29-2019 14:22:47.167,241,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:47.243,242,RECV,7E000389010174
07-29-2019 14:22:47.669,243,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:47.719,244,RECV,7E000389010174
07-29-2019 14:22:48.174,245,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:48.245,246,RECV,7E000389010174
07-29-2019 14:22:48.706,247,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:48.729,248,RECV,7E000389010174
07-29-2019 14:22:49.179,249,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:49.233,250,RECV,7E000389010174
07-29-2019 14:22:49.684,251,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:49.754,252,RECV,7E000389010075
07-29-2019 14:22:50.188,253,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:50.277,254,RECV,7E000389010174
07-29-2019 14:22:50.692,255,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:50.745,256,RECV,7E000389010075
07-29-2019 14:22:51.199,257,SENT,7E000C00010013A2004153134600312B
07-29-2019 14:22:51.272,258,RECV,7E000389010174
